id результата;Команда;Баллы;Сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Контрольная работа 3
57;АЛГЕБРА Л-05;76.0;1;1.0;35.0;17.0;1.0;0.0;17.0;1.0;0.0;14.0
58;АЛГЕБРА Л-06;2.0;0;0.36;30.0;0.0;0.4;0.0;0.0;0.0;0.0;0.0
59;АЛГЕБРА Л-09;94.5;1;1.0;0.0;20.0;1.0;0.0;19.5;1.0;0.0;17.0
60;АЛГЕБРА Л-05;76.0;1;0.82;38.0;15.0;1.0;0.0;19.0;1.0;0.0;13.0
61;АЛГЕБРА Л-04;65.0;1;1.0;33.0;11.0;1.0;5.0;1.0;1.0;8.0;20.0
62;АЛГЕБРА Л-06;64.0;1;0.91;25.5;4.0;0.8;3.0;7.0;0.75;2.6;2.0
63;АЛГЕБРА Л-08;30.0;0;0.82;37.9;1.0;0.8;0.0;19.0;1.0;1.0;0.0
64;АЛГЕБРА Л-07;100.0;1;0.91;17.0;20.0;0.8;12.0;20.0;1.0;13.0;20.0
65;АЛГЕБРА Л-05;0.0;0;0.0;5.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
66;АЛГЕБРА Л-02;76.0;1;0.82;4.0;1.0;0.8;4.0;6.0;0.62;20.0;20.0
67;АЛГЕБРА Л-06;100.0;1;0.82;35.0;20.0;1.0;15.0;20.0;1.0;11.0;20.0
68;АЛГЕБРА Л-07;1.5;0;0.45;1.5;0.0;0.2;0.0;0.0;0.38;0.0;0.0
69;АЛГЕБРА Л-08;64.0;1;0.73;0.0;20.0;0.8;8.0;0.0;1.0;0.0;6.0
70;АЛГЕБРА Л-07;82.0;1;0.82;32.0;11.0;1.0;5.0;18.0;1.0;8.0;16.0
71;АЛГЕБРА Л-02;63.0;1;0.82;26.0;15.0;1.0;5.0;6.0;0.25;2.0;20.0
