Пол;Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Процент баллов до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Процент баллов до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Процент баллов до Контрольная работа 3;Контрольная работа 3
1.0;0;0.86;0.11;0.35;0.1576;1.0;0.06;0.26;0.1436;0.57;0.1;0.43;0.2
1.0;0;0.71;0.16;0.52;0.1165;1.0;0.06;0.26;0.1233;0.86;0.1;0.43;0.1202
1.0;1;0.93;0.09;0.29;0.030600000000000002;0.5;0.0;0.0;0.0667;0.43;0.0;0.0;0.0
1.0;0;1.0;0.16;0.52;0.12;1.0;0.06;0.26;0.08;0.86;0.1;0.43;0.09
1.0;0;0.86;0.1;0.32;0.11;1.0;0.03;0.13;0.16;1.0;0.06;0.26;0.19
1.0;0;0.86;0.135;0.44;0.1341;1.0;0.11;0.48;0.1258;1.0;0.1;0.43;0.156
1.0;0;0.93;0.16;0.52;0.07200000000000001;1.0;0.06;0.26;0.085;1.0;0.1;0.43;0.0557
1.0;0;0.93;0.175;0.56;0.13;1.0;0.02;0.09;0.08;1.0;0.03;0.13;0.11
1.0;0;0.86;0.09;0.29;0.06;1.0;0.04;0.17;0.15;1.0;0.08;0.35;0.18
1.0;0;1.0;0.128;0.41;0.064;1.0;0.025;0.11;0.066;0.71;0.037000000000000005;0.16;0.1
1.0;0;0.93;0.11;0.35;0.1;0.25;0.02;0.09;0.16;1.0;0.07;0.3;0.18
1.0;1;0.57;0.07;0.23;0.03;0.5;0.04;0.17;0.0;0.71;0.01;0.04;0.04
1.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0;1.0;0.155;0.5;0.17120000000000002;1.0;0.04;0.17;0.17120000000000002;1.0;0.1;0.43;0.191
1.0;0;0.57;0.1235;0.4;0.147;1.0;0.0935;0.41;0.18899999999999997;1.0;0.08599999999999998;0.37;0.2
1.0;0;0.79;0.16;0.52;0.172;0.75;0.06;0.26;0.2;0.57;0.12;0.52;0.165
1.0;0;0.86;0.16;0.52;0.12;0.5;0.06;0.26;0.12;1.0;0.1;0.43;0.135
1.0;0;0.79;0.12;0.39;0.1072;0.5;0.0;0.0;0.0;0.29;0.02;0.09;0.06
1.0;1;0.64;0.06;0.19;0.0;0.5;0.01;0.04;0.12;0.43;0.0;0.0;0.01
0.0;0;0.43;0.14;0.45;0.09119999999999999;1.0;0.06;0.26;0.1274;0.86;0.1;0.43;0.177
1.0;1;0.57;0.14;0.45;0.05;1.0;0.02;0.09;0.02;0.57;0.09;0.39;0.0
1.0;0;0.93;0.15;0.48;0.04;1.0;0.1;0.43;0.01;1.0;0.19;0.82;0.0
1.0;0;0.79;0.14;0.45;0.1076;1.0;0.049;0.21;0.11900000000000001;0.86;0.085;0.37;0.0983
1.0;1;0.71;0.02;0.06;0.0333;0.25;0.0;0.0;0.06709999999999999;0.14;0.0;0.0;0.0
0.0;0;0.71;0.09;0.29;0.15;1.0;0.09;0.39;0.14;1.0;0.09;0.39;0.15
1.0;0;0.71;0.02;0.06;0.09;1.0;0.02;0.09;0.13;0.71;0.0;0.0;0.09
0.0;0;0.5;0.183;0.59;0.10099999999999999;0.75;0.02;0.09;0.1092;1.0;0.042;0.18;0.17800000000000002
1.0;1;0.86;0.019000000000000003;0.06;0.0;1.0;0.015;0.07;0.01;1.0;0.049;0.21;0.02
1.0;1;0.79;0.035;0.11;0.0334;0.75;0.0;0.0;0.0774;0.43;0.0;0.0;0.1035
0.0;0;0.86;0.1;0.32;0.1155;1.0;0.03;0.13;0.08;0.71;0.034;0.15;0.079
0.0;0;0.64;0.03;0.1;0.05;0.25;0.04;0.17;0.11;0.71;0.02;0.09;0.13
0.0;0;1.0;0.16;0.52;0.11;1.0;0.06;0.26;0.17;1.0;0.1;0.43;0.09
1.0;0;0.86;0.16;0.52;0.1588;1.0;0.06;0.26;0.13970000000000002;0.71;0.08;0.35;0.2
1.0;1;0.71;0.11;0.35;0.05;0.75;0.02;0.09;0.0;0.14;0.0;0.0;0.0
1.0;1;0.29;0.0;0.0;0.0;0.0;0.02;0.09;0.0;0.43;0.15;0.65;0.0
1.0;0;1.0;0.12;0.39;0.1373;0.75;0.0;0.0;0.1192;0.86;0.03;0.13;0.0915
0.0;0;0.71;0.18;0.58;0.166;1.0;0.06;0.26;0.11199999999999999;0.86;0.1;0.43;0.1346
0.0;1;1.0;0.09;0.29;0.04;1.0;0.02;0.09;0.06;1.0;0.09;0.39;0.06
0.0;0;0.71;0.12;0.39;0.12;0.75;0.02;0.09;0.1;0.86;0.05;0.22;0.13
0.0;0;0.71;0.153;0.49;0.0812;0.5;0.03;0.13;0.11230000000000001;0.71;0.11;0.48;0.1115
0.0;0;0.79;0.1165;0.38;0.098;1.0;0.0565;0.25;0.107;1.0;0.126;0.55;0.11900000000000001
1.0;0;0.71;0.055999999999999994;0.18;0.1333;0.75;0.037000000000000005;0.16;0.16699999999999998;0.86;0.048;0.21;0.1542
1.0;0;1.0;0.16;0.52;0.17;1.0;0.06;0.26;0.2;1.0;0.1;0.43;0.19
0.0;0;0.71;0.15;0.48;0.1142;1.0;0.07400000000000001;0.32;0.0984;0.86;0.13;0.56;0.1377
0.0;0;0.93;0.11;0.35;0.11;1.0;0.05;0.22;0.11;1.0;0.09;0.39;0.13
1.0;0;0.93;0.098;0.32;0.0825;1.0;0.055;0.24;0.09029999999999999;1.0;0.07200000000000001;0.31;0.182
1.0;0;0.93;0.035;0.11;0.0258;1.0;0.0;0.0;0.06;1.0;0.0;0.0;0.02
1.0;0;0.93;0.049;0.16;0.0264;1.0;0.019;0.08;0.034;1.0;0.02;0.09;0.0358
0.0;0;0.93;0.16;0.52;0.17;1.0;0.06;0.26;0.17;1.0;0.1;0.43;0.17
1.0;0;0.86;0.13;0.42;0.15;1.0;0.04;0.17;0.14;1.0;0.09;0.39;0.09
1.0;0;0.79;0.04;0.13;0.1288;0.5;0.0;0.0;0.19;0.86;0.08;0.35;0.1317
1.0;0;0.79;0.08;0.26;0.0944;1.0;0.0;0.0;0.0814;0.43;0.02;0.09;0.09
0.0;1;0.86;0.04;0.13;0.057300000000000004;1.0;0.02;0.09;0.102;0.86;0.0;0.0;0.12
0.0;1;0.86;0.1;0.32;0.09;1.0;0.05;0.22;0.05;0.86;0.04;0.17;0.04
0.0;0;0.93;0.16;0.52;0.11;1.0;0.06;0.26;0.131;1.0;0.1;0.43;0.165
0.0;0;0.86;0.12;0.39;0.1;1.0;0.07;0.3;0.08;0.86;0.1;0.43;0.15
0.0;0;0.43;0.16;0.52;0.1297;0.5;0.06;0.26;0.1173;0.71;0.06;0.26;0.1387
1.0;1;0.71;0.1;0.32;0.05;0.75;0.01;0.04;0.0;0.43;0.0;0.0;0.02
1.0;0;1.0;0.26;0.84;0.04;1.0;0.06;0.26;0.03;0.86;0.19;0.82;0.1
