 ÓÏ‡Ì‰‡;ÕÂ Ò‰‡Î(-‡);œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3
œËŒ¿ œ-05.02;0;0.79;0.13;1.0;0.4325904563487002;0.0;11.0;1.0;0.0;0.01;0.3333333333333333;0.49999999999999994;0.0;14.0;1.0;1.0;0.08;1.0;0.4999999999999999;0.0;15.0;1.0
œËŒ¿ œ-02.04;1;0.5;0.040999999999999995;0.5;0.5492597435072084;0.01;6.9;1.0;1.0;0.017;1.0;0.35;0.0;10.0;0.0;0.6;0.022000000000000002;0.6000000000000001;0.47258156262526074;0.002;0.0;1.0
œËŒ¿ œ-08.02;1;0.14;0.03;0.25;0.28912696635448937;0.0;0.5;1.0;0.0;0.04;0.6666666666666666;0.9999999999999999;0.0;2.0;1.0;0.6;0.0;0.0;0.0;0.0;3.0;1.0
œËŒ¿ œ-02.03;0;0.79;0.16;1.0;0.2569268040186246;0.0;13.2;1.0;1.0;0.06;1.0;0.0;0.0;15.69;0.0;1.0;0.1;1.0;0.0;0.0;15.0;1.0
œËŒ¿ œ-09.01;0;0.93;0.15600000000000003;1.0;0.34439906160629896;0.03;8.42;1.0;1.0;0.06;1.0;0.0;0.04;14.8;1.0;0.6;0.08;0.8;0.8164965809277259;0.03;12.9;1.0
œËŒ¿ œ-08.04;0;0.86;0.14;1.0;0.24354661576748746;0.0;9.91;1.0;0.33;0.04;0.6666666666666666;0.9999999999999999;0.0;0.0;0.0;0.8;0.1;1.0;0.0;0.0;3.33;1.0
œËŒ¿ œ-09.03;0;0.79;0.16;1.0;0.9879178208325139;0.0;10.2;1.0;1.0;0.05;1.0;0.49999999999999994;0.0;13.0;0.0;0.6;0.09;1.0;0.40824829046386296;0.0;6.83;1.0
œËŒ¿ œ-06.04;0;1.0;0.138;1.0;0.3437457589726248;0.01;13.0;1.0;1.0;0.05;1.0;0.49999999999999994;0.0;10.7;1.0;1.0;0.06;0.6000000000000001;0.9999999999999999;0.095;16.35;1.0
œËŒ¿ œ-06.04;1;0.86;0.12;0.75;0.30622884732500577;0.0;9.88;1.0;0.67;0.02;0.3333333333333333;0.9999999999999999;0.0;14.2;1.0;0.6;0.0;0.0;0.0;0.0;0.0;0.0
œËŒ¿ œ-06.03;1;1.0;0.12;1.0;0.5916432802748652;0.0;6.0;1.0;1.0;0.02;0.6666666666666666;0.49999999999999994;0.0;10.0;1.0;0.8;0.04;0.4;0.9999999999999999;0.0;10.0;1.0
œËŒ¿ œ-01.01 —ÔÓÚ œÓ„Ï;0;0.86;0.16;1.0;0.49725421365576483;0.01;16.93;1.0;1.0;0.04;0.6666666666666666;0.9999999999999999;0.02;9.14;1.0;0.8;0.08;0.8;0.8164965809277259;0.18;14.8;1.0
œËŒ¿ œ-06.01;1;0.57;0.06;0.375;0.19833581892318225;0.03;2.0;1.0;0.67;0.0;0.0;0.0;0.0;0.0;0.0;0.6;0.0;0.0;0.0;0.06;0.0;0.0
œËŒ¿ œ-02.02;0;0.86;0.14;1.0;0.391323011462594;0.016;20.0;1.0;1.0;0.06;1.0;0.0;0.05;19.8;1.0;1.0;0.08;0.8;0.8164965809277259;0.05;0.0;0.0
œËŒ¿ œ-09.01;1;0.57;0.06;0.5;0.18266441276709378;0.0;4.4;1.0;1.0;0.04;1.0;0.49999999999999994;0.0;4.54;1.0;0.4;0.05;0.6000000000000001;0.9128709291752767;0.0;11.7;1.0
œËŒ¿ œ-03.01;0;1.0;0.13;1.0;0.22620696417943206;0.0;20.0;1.0;0.0;0.05;1.0;0.49999999999999994;0.0;20.0;1.0;0.8;0.09;1.0;0.408248290463863;0.04;19.0;1.0
œËŒ¿ œ-05.01;1;0.64;0.11;0.875;0.22620696417943206;0.0;0.0;0.0;0.67;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
œËŒ¿ œ-06.01;1;0.43;0.07;0.5;0.20068307008107528;0.08;6.0;1.0;0.0;0.04;0.6666666666666666;0.9999999999999999;0.0;0.0;0.0;0.2;0.08;0.8;0.8164965809277259;0.02;9.0;1.0
œËŒ¿ œ-09.02;1;1.0;0.09;0.625;0.505195835460787;0.0;11.0;1.0;1.0;0.03;0.6666666666666666;0.8660254037844386;0.0;7.0;1.0;1.0;0.02;0.2;0.816496580927726;0.0;7.0;1.0
œËŒ¿ œ-03.01;1;1.0;0.08;0.75;0.5911135294326824;0.0;6.0;1.0;0.33;0.02;0.6666666666666666;0.49999999999999994;0.0;16.0;1.0;0.4;0.05;0.6000000000000001;0.9128709291752767;0.02;16.0;1.0
œËŒ¿ œ-04.04;1;0.64;0.11;0.875;0.2959254481344999;0.0;3.22;1.0;1.0;0.01;0.3333333333333333;0.49999999999999994;0.0;0.0;0.0;0.2;0.02;0.4;0.49999999999999994;0.0;0.0;0.0
œËŒ¿ œ-07.03;1;0.79;0.14;0.875;0.3150862425099829;0.05;2.12;1.0;1.0;0.06;1.0;0.0;0.02;5.33;1.0;0.8;0.085;1.0;0.6123724356957945;0.0;11.3;1.0
œËŒ¿ œ-06.01;1;0.93;0.07;0.5;0.5704977198549119;0.08;1.0;1.0;1.0;0.02;0.6666666666666666;0.49999999999999994;0.09;2.0;1.0;1.0;0.0;0.0;0.0;0.07;0.0;1.0
œËŒ¿ œ-02.01;1;0.07;0.0;0.0;0.43496287766400865;0.0;0.0;0.0;0.67;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0
