Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Количество баллов до Контрольная работа 1;Корень дисперсии баллов до Контрольная работа 1;Доставленные баллы на Контрольная работа 1;Контрольная работа 1;Присутствие на Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Количество баллов до Контрольная работа 2;Корень дисперсии баллов до Контрольная работа 2;Доставленные баллы на Контрольная работа 2;Контрольная работа 2;Присутствие на Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Количество баллов до Контрольная работа 3;Корень дисперсии баллов до Контрольная работа 3;Доставленные баллы на Контрольная работа 3;Контрольная работа 3;Присутствие на Контрольная работа 3
1;0.55;0.02;0.18181818181818182;0.36011422840416013;0.0;4.0;1.0;0.4;0.02;0.2;0.1764324365564924;0.0;4.0;1.0;0.75;0.0;0.0;0.0;0.0;0.0;0.0
0;0.91;0.1;0.8181818181818182;0.026946715839161185;0.0;0.0;0.0;0.4;0.0;0.0;0.0;0.0;19.0;1.0;1.0;0.03;0.375;0.026982886620192707;0.0;7.0;0.0
0;0.73;0.0;0.0;0.22694676135684344;0.0;11.0;1.0;1.0;0.0;0.0;0.0;0.0;14.0;1.0;0.75;0.09;0.25;0.10949423548859216;0.0;6.0;1.0
1;0.55;0.07200000000000001;0.5454545454545454;0.2652018375175125;0.0;4.0;1.0;0.8;0.018500000000000003;0.4;0.10287690502512525;0.0;0.0;0.0;0.5;0.0575;0.625;0.039063106725430084;0.0;6.0;1.0
0;0.91;0.01;0.09090909090909091;0.26986270604545737;0.0;15.0;1.0;1.0;0.03;0.6000000000000001;0.10804236090984298;0.0;20.0;0.0;0.75;0.01;0.125;0.018432820714705644;0.0;19.0;0.0
1;0.18;0.0;0.0;0.18568371383741736;0.0;4.0;1.0;0.2;0.0;0.0;0.0;0.0;4.0;1.0;0.75;0.16;0.125;0.2949251314352903;0.0;0.0;0.0
0;0.91;0.0;0.0;0.0;0.0;20.0;1.0;1.0;0.0;0.0;0.0;0.0;20.0;1.0;0.71;0.0;0.0;0.0;0.0;20.0;1.0
1;0.18;0.0;0.0;0.36105166579497827;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0;0.55;0.069;0.5454545454545454;0.024871345056059816;0.0;10.0;1.0;0.8;0.06199999999999999;0.8;0.17676293782003746;0.0;8.7;1.0;0.25;0.035;0.25;0.04280566584851519;0.0;4.0;1.0
0;0.64;0.005;0.09090909090909091;0.34737593261446253;0.0;15.0;1.0;1.0;0.01;0.4;0.05402118045492149;0.0;20.0;1.0;1.0;0.2;0.125;0.3686564142941129;0.0;14.5;1.0
