 ÓÏ‡Ì‰‡;ÕÂ Ò‰‡Î(-‡);œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 1;œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 2;œÓÒÂ˘ÂÌËÂ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;¡‡ÎÎ˚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÎË˜ÂÒÚ‚Ó ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÂÌ¸ ‰ËÒÔÂÒËË ·‡ÎÎÓ‚ ‰Ó  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;ƒÓÒÚ‡‚ÎÂÌÌ˚Â ·‡ÎÎ˚ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3; ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3;œËÒÛÚÒÚ‚ËÂ Ì‡  ÓÌÚÓÎ¸Ì‡ˇ ‡·ÓÚ‡ 3
œËŒ¿ œ-09;1;0.11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
œËŒ¿ œ-04;1;0.67;0.0;0.0;0.0;0.0;2.0;1.0;0.75;0.0;0.0;0.0;0.0;2.0;1.0;0.57;0.0;0.0;0.0;0.0;0.0;0.0
œËŒ¿ œ-33;1;0.89;0.124;1.0;0.7364781055808788;0.0;8.3;1.0;0.5;0.057999999999999996;1.0;0.8139342042750685;0.0;4.0;1.0;0.71;0.09300000000000001;0.8333333333333333;0.7983862299688045;0.11199999999999999;4.0;1.0
œËŒ¿ œ-23 —œ;0;0.56;0.15;1.0;0.806225774829855;0.0;9.7;1.0;0.75;0.06;1.0;0.8793937305515279;0.0;15.54;1.0;0.71;0.1;0.8333333333333333;0.8582618476716726;0.0;7.0;0.0
œËŒ¿ œ-09;0;1.0;0.15;1.0;0.806225774829855;0.0;15.0;1.0;1.0;0.06;1.0;0.8793937305515279;0.02;17.0;1.0;1.0;0.02;0.16666666666666666;0.9163561321997231;0.0;16.67;1.0
œËŒ¿ œ-04;1;0.78;0.13199999999999998;1.0;0.6720119046564577;0.0;6.0;0.0;0.75;0.052000000000000005;1.0;0.7008740898306332;0.0;4.33;1.0;1.0;0.07400000000000001;0.6666666666666666;0.7433647191379354;0.003;0.0;0.0
œËŒ¿ œ-08;1;1.0;0.078;0.75;0.7652450587883597;0.03;11.2;1.0;1.0;0.05;1.0;0.7899883750113423;0.035;13.8;1.0;0.71;0.045;0.5;0.7510964659924231;0.0;16.3;1.0
œËŒ¿ œ-08;0;1.0;0.11900000000000001;0.875;0.8395832299420946;0.06;14.4;1.0;1.0;0.06;1.0;0.8587187893505496;0.035;16.7;1.0;0.71;0.055;0.5;0.8543250296783751;0.0;15.3;1.0
œËŒ¿ œ-05 »ÌÚÂ„‡ˆËˇ;1;0.89;0.098;0.75;0.844748483277715;0.0;2.5;1.0;0.75;0.046;1.0;0.8475848040166837;0.0;4.11;1.0;0.71;0.043;0.5;0.8111632090517026;0.005;9.66;1.0
œËŒ¿ œ-05 »ÌÚÂ„‡ˆËˇ;1;0.44;0.0;0.0;0.0;0.0;0.0;1.0;0.5;0.0;0.0;0.0;0.0;0.0;1.0;0.29;0.0;0.0;0.0;0.0;0.0;1.0
œËŒ¿ œ-09;0;0.78;0.15;1.0;0.806225774829855;0.0;16.0;1.0;0.75;0.06;1.0;0.8793937305515279;0.02;15.0;1.0;0.71;0.04;0.3333333333333333;0.9083703055592791;0.0;11.83;1.0
œËŒ¿ œ-04;0;1.0;0.15500000000000003;1.0;0.7787810988975015;0.013999999999999999;18.0;1.0;1.0;0.057;1.0;0.7944963749419618;0.0;16.0;1.0;0.71;0.098;0.8333333333333333;0.7780021661695408;0.01;14.0;1.0
œËŒ¿ œ-08;0;1.0;0.10400000000000001;0.875;0.751265598839718;0.02;8.7;1.0;0.5;0.055;1.0;0.786136250329186;0.025;17.7;1.0;0.57;0.1;0.8333333333333333;0.7873504807159394;0.0;17.3;1.0
œËŒ¿ œ-28;1;0.78;0.16;1.0;0.8;0.005;6.83;1.0;0.75;0.06;1.0;0.82065180664829;0.0;7.78;0.0;0.57;0.1;0.8333333333333333;0.8363333975829068;0.03;3.82;1.0
œËŒ¿ œ-10;0;1.0;0.15;1.0;0.806225774829855;0.03;11.0;1.0;1.0;0.06;1.0;0.823754471047914;0.02;18.0;1.0;0.57;0.06;0.5;0.8761587974678071;0.01;15.69;0.0
œËŒ¿ œ-10;0;1.0;0.14;1.0;0.8;0.03;16.0;1.0;1.0;0.06;1.0;0.82065180664829;0.03;17.0;1.0;0.71;0.04;0.3333333333333333;0.882977256703096;0.01;16.67;0.0
œËŒ¿ œ-28;1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
œËŒ¿ œ-09;1;0.67;0.02;0.25;0.4000000000000001;0.0;8.0;1.0;0.25;0.0;0.0;0.3399346342395189;0.0;0.0;0.0;0.0;0.0;0.0;0.2645655653756834;0.0;0.0;0.0
œËŒ¿ œ-10;1;0.33;0.07;0.5;0.9;0.0;9.0;1.0;0.0;0.06;1.0;0.9568466729604883;0.0;0.0;0.0;0.14;0.04;0.3333333333333333;0.8850292037124139;0.01;0.0;0.0
œËŒ¿ œ-10;1;0.56;0.06;0.375;0.9165151389911679;0.0;3.0;1.0;0.5;0.0;0.0;0.8000000000000002;0.02;4.0;0.0;0.57;0.02;0.16666666666666666;0.7242859683401481;0.0;0.17;1.0
œËŒ¿ œ-10;1;1.0;0.1;0.875;0.7745966692414834;0.01;9.83;1.0;1.0;0.06;1.0;0.8329931278350429;0.03;16.0;1.0;0.86;0.02;0.16666666666666666;0.8340783257776735;0.0;8.99;1.0
œËŒ¿ œ-10;1;0.33;0.02;0.25;0.4000000000000001;0.0;2.0;1.0;0.75;0.0;0.0;0.3399346342395189;0.0;5.0;0.0;0.43;0.0;0.0;0.2645655653756834;0.0;0.0;0.0
œËŒ¿ œ-09;1;0.56;0.02;0.25;0.4000000000000001;0.0;0.0;0.0;0.75;0.0;0.0;0.3399346342395189;0.0;12.12;1.0;0.71;0.0;0.0;0.2645655653756834;0.0;13.53;1.0
