Пол;Не сдал(-а);Посещение до Контрольная работа 1;Баллы до Контрольная работа 1;Количество баллов до Контрольная работа 1;Процент баллов до Контрольная работа 1;Контрольная работа 1;Посещение до Контрольная работа 2;Баллы до Контрольная работа 2;Количество баллов до Контрольная работа 2;Процент баллов до Контрольная работа 2;Контрольная работа 2;Посещение до Контрольная работа 3;Баллы до Контрольная работа 3;Количество баллов до Контрольная работа 3;Процент баллов до Контрольная работа 3;Контрольная работа 3
1.0;1;0.93;0.15;5.0;0.48;0.05;1.0;0.02;2.0;0.09;0.1;1.0;0.09;1.0;0.39;0.0
1.0;1;0.07;0.0;0.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.86;0.0;0.0;0.0;0.0
0.0;0;0.57;0.16;8.0;0.52;1.0;0.75;0.08;4.0;0.35;0.5;0.43;0.09;5.0;0.39;0.15
1.0;0;0.86;0.139;7.0;0.45;0.79;0.5;0.096;3.0;0.42;0.845;1.0;0.135;5.0;0.58;0.65
0.0;1;0.79;0.05;5.0;0.16;0.25;1.0;0.03;2.0;0.13;0.35;1.0;0.04;2.0;0.17;0.55
1.0;0;1.0;0.1215;8.0;0.39;0.705;1.0;0.0645;4.0;0.28;0.495;0.71;0.092;5.0;0.4;0.665
1.0;0;1.0;0.15;8.0;0.48;0.5;0.75;0.05;3.0;0.22;0.7;1.0;0.1;5.0;0.43;0.75
0.0;0;0.79;0.075;5.0;0.24;0.5;0.5;0.06;4.0;0.26;0.35;0.71;0.11;6.0;0.48;0.45
0.0;0;1.0;0.155;8.0;0.5;0.6935;1.0;0.06;3.0;0.26;0.8285;1.0;0.09;5.0;0.39;0.925
1.0;1;0.79;0.040999999999999995;4.0;0.13;0.1915;1.0;0.03;2.0;0.13;0.4;1.0;0.0;0.0;0.0;0.275
0.0;1;0.43;0.09;6.0;0.29;0.6;0.25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0;0;0.86;0.16;8.0;0.52;0.883;1.0;0.06;3.0;0.26;0.8195;0.57;0.08;4.0;0.35;0.6900000000000001
1.0;1;0.79;0.08;7.0;0.26;0.125;1.0;0.05;3.0;0.22;0.15;1.0;0.075;4.0;0.32;0.3915
1.0;0;1.0;0.126;8.0;0.41;0.8975;1.0;0.059000000000000004;3.0;0.26;0.9425000000000001;1.0;0.1;5.0;0.43;0.9550000000000001
1.0;1;0.93;0.13;4.0;0.42;0.05;0.75;0.0;0.0;0.0;0.0;0.43;0.07;1.0;0.3;0.0
1.0;0;0.71;0.16;8.0;0.52;0.6;1.0;0.06;3.0;0.26;0.65;0.71;0.1;5.0;0.43;0.615
1.0;0;0.86;0.13;7.0;0.42;0.7085;1.0;0.06;3.0;0.26;0.8935000000000001;1.0;0.1;5.0;0.43;0.8150000000000001
1.0;1;0.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0;0.93;0.16;8.0;0.52;0.638;1.0;0.06;3.0;0.26;0.587;1.0;0.1;5.0;0.43;0.4265
1.0;0;0.86;0.14;8.0;0.45;0.7;1.0;0.06;3.0;0.26;0.9;1.0;0.09;5.0;0.39;0.85
1.0;1;0.71;0.09;5.0;0.29;0.08249999999999999;0.75;0.0;0.0;0.0;0.3165;0.43;0.0;0.0;0.0;0.1
1.0;0;0.86;0.11;6.0;0.35;0.788;1.0;0.06;3.0;0.26;0.718;0.57;0.1;5.0;0.43;1.0
1.0;0;0.71;0.16;8.0;0.52;0.5825;1.0;0.06;3.0;0.26;0.6165;0.86;0.1;5.0;0.43;0.601
1.0;1;0.93;0.09;5.0;0.29;0.153;0.5;0.0;0.0;0.0;0.3335;0.43;0.0;0.0;0.0;0.0
1.0;0;1.0;0.16;8.0;0.52;0.6;1.0;0.06;3.0;0.26;0.4;0.86;0.1;5.0;0.43;0.45
1.0;0;0.86;0.1;6.0;0.32;0.55;1.0;0.03;2.0;0.13;0.8;1.0;0.06;3.0;0.26;0.95
1.0;0;0.86;0.135;8.0;0.44;0.6705;1.0;0.11;4.0;0.48;0.629;1.0;0.1;5.0;0.43;0.78
1.0;0;0.93;0.16;8.0;0.52;0.36;1.0;0.06;3.0;0.26;0.425;1.0;0.1;5.0;0.43;0.2785
1.0;0;0.93;0.175;9.0;0.56;0.65;1.0;0.02;1.0;0.09;0.4;1.0;0.03;2.0;0.13;0.55
1.0;0;0.86;0.09;6.0;0.29;0.3;1.0;0.04;3.0;0.17;0.75;1.0;0.08;4.0;0.35;0.9
